position
[122 78],[123 78],[124 78],[125 78],[126 78],[127 78],[128 78],
[122 79],[123 79],[124 79],[125 79],[126 79],[127 79],[128 79],
[122 80],[123 80],[124 80],[125 80],[126 80],[127 80],[128 80],
[122 81],[123 81],[124 81],[125 81],[126 81],[127 81],[128 81],
[122 82],[123 82],[124 82],[125 82],[126 82],[127 82],[128 82],
[122 83],[123 83],[124 83],[125 83],[126 83],[127 83],[128 83],
[122 84],[123 84],[124 84],[125 84],[126 84],[127 84],[128 84],
Keypoint[red]: [ 81 125   0]
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
Keypoint[blue]: [ 81 125   2]
174,168,164,162,162,166,171,
168,161,156,154,155,160,167,
165,157,151,149,151,156,164,
164,156,151,149,150,156,163,
166,159,154,152,154,159,166,
171,165,161,159,161,166,172,
177,172,169,168,170,174,179,
orientation
225.0,209.74488129694222,194.03624346792648,180.0,150.25511870305778,140.19442890773482,119.74488129694222,
246.80140948635182,231.3401917459099,201.80140948635182,168.6900675259798,128.6598082540901,119.74488129694222,110.55604521958347,
262.8749836510982,260.5376777919744,270.0,90.0,101.30993247402021,90.0,97.1250163489018,
284.03624346792645,300.9637565320735,326.30993247402023,18.43494882292201,56.309932474020215,66.80140948635182,71.56505117707799,
305.5376777919744,320.1944289077348,344.05460409907715,15.945395900922854,35.53767779197438,45.0,56.309932474020215,
315.0,330.2551187030578,345.96375653207355,12.528807709151511,29.054604099077146,36.86989764584402,48.81407483429036,
315.0,336.8014094863518,352.8749836510982,12.528807709151511,23.962488974578186,32.005383208083494,41.18592516570965,
magnitude
8.48528137423857,8.06225774829855,8.246211251235321,8.0,8.06225774829855,7.810249675906654,8.06225774829855,
7.615773105863909,6.4031242374328485,5.385164807134504,5.0990195135927845,6.4031242374328485,8.06225774829855,8.54400374531753,
8.06225774829855,6.082762530298219,2.0,2.0,5.0990195135927845,8.0,8.06225774829855,
8.246211251235321,5.830951894845301,3.605551275463989,3.1622776601683795,7.211102550927978,7.615773105863909,9.486832980505138,
8.602325267042627,7.810249675906654,7.280109889280518,7.280109889280518,8.602325267042627,9.899494936611665,10.816653826391969,
8.48528137423857,8.06225774829855,8.246211251235321,9.219544457292887,10.295630140987,10.0,10.63014581273465,
7.0710678118654755,7.615773105863909,8.06225774829855,9.219544457292887,9.848857801796104,9.433981132056603,10.63014581273465,
gaussian weights
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.01911538621343449,0.023748217156404735,0.02705077874297654,0.028250709481750534,0.02705077874297654,0.023748217156404735,0.01911538621343449,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
position
[122 78],[123 78],[124 78],[125 78],[126 78],[127 78],[128 78],
[122 79],[123 79],[124 79],[125 79],[126 79],[127 79],[128 79],
[122 80],[123 80],[124 80],[125 80],[126 80],[127 80],[128 80],
[122 81],[123 81],[124 81],[125 81],[126 81],[127 81],[128 81],
[122 82],[123 82],[124 82],[125 82],[126 82],[127 82],[128 82],
[122 83],[123 83],[124 83],[125 83],[126 83],[127 83],[128 83],
[122 84],[123 84],[124 84],[125 84],[126 84],[127 84],[128 84],
Keypoint[red]: [ 81 125   0]
185,179,175,173,174,177,183,
179,172,168,166,167,172,178,
176,168,163,161,163,168,175,
175,168,163,161,163,168,175,
177,170,166,164,166,171,178,
182,176,172,171,173,177,183,
188,183,180,180,181,185,190,
orientation
225.0,209.74488129694222,195.94539590092288,171.86989764584402,156.80140948635182,129.8055710922652,129.8055710922652,
246.80140948635182,225.0,201.80140948635182,168.6900675259798,128.6598082540901,123.69006752597979,110.55604521958347,
262.8749836510982,270.0,270.0,90.0,90.0,90.0,90.0,
285.94539590092285,291.8014094863518,326.30993247402023,33.690067525979785,59.03624346792648,66.80140948635182,71.56505117707799,
305.5376777919744,326.30993247402023,341.565051177078,15.945395900922854,35.53767779197438,49.398705354995535,57.9946167919165,
315.0,330.2551187030578,352.8749836510982,12.528807709151511,26.56505117707799,36.86989764584402,45.0,
315.0,336.8014094863518,0.0,7.125016348901798,23.962488974578186,32.005383208083494,40.60129464500447,
magnitude
8.48528137423857,8.06225774829855,7.280109889280518,7.0710678118654755,7.615773105863909,7.810249675906654,7.810249675906654,
7.615773105863909,5.656854249492381,5.385164807134504,5.0990195135927845,6.4031242374328485,7.211102550927978,8.54400374531753,
8.06225774829855,5.0,2.0,2.0,5.0,7.0,9.0,
7.280109889280518,5.385164807134504,3.605551275463989,3.605551275463989,5.830951894845301,7.615773105863909,9.486832980505138,
8.602325267042627,7.211102550927978,6.324555320336759,7.280109889280518,8.602325267042627,9.219544457292887,9.433981132056603,
8.48528137423857,8.06225774829855,8.06225774829855,9.219544457292887,8.94427190999916,10.0,9.899494936611665,
7.0710678118654755,7.615773105863909,8.0,8.06225774829855,9.848857801796104,9.433981132056603,9.219544457292887,
gaussian weights
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.01911538621343449,0.023748217156404735,0.02705077874297654,0.028250709481750534,0.02705077874297654,0.023748217156404735,0.01911538621343449,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
Keypoint[green]: [ 81 125   1]
181,175,171,169,170,173,179,
176,168,163,161,163,167,174,
172,164,159,157,158,163,171,
171,163,158,156,157,163,170,
173,166,161,159,161,166,173,
178,172,168,166,168,172,179,
184,179,176,175,177,180,186,
orientation
230.1944289077348,209.74488129694222,194.03624346792648,172.8749836510982,156.80140948635182,135.0,129.8055710922652,
243.43494882292202,231.3401917459099,206.565051177078,153.434948822922,141.34019174590992,119.74488129694222,110.55604521958347,
262.8749836510982,258.69006752597977,243.43494882292202,135.0,101.30993247402021,90.0,97.1250163489018,
284.03624346792645,300.9637565320735,326.30993247402023,18.43494882292201,56.309932474020215,66.80140948635182,71.56505117707799,
305.5376777919744,320.1944289077348,344.05460409907715,15.945395900922854,35.53767779197438,49.398705354995535,56.309932474020215,
315.0,330.2551187030578,345.96375653207355,12.528807709151511,23.962488974578186,41.18592516570965,45.0,
315.0,336.8014094863518,352.8749836510982,12.528807709151511,20.556045219583467,33.690067525979785,40.60129464500447,
magnitude
7.810249675906654,8.06225774829855,8.246211251235321,8.06225774829855,7.615773105863909,8.48528137423857,7.810249675906654,
8.94427190999916,6.4031242374328485,4.47213595499958,4.47213595499958,6.4031242374328485,8.06225774829855,8.54400374531753,
8.06225774829855,5.0990195135927845,2.23606797749979,1.4142135623730951,5.0990195135927845,8.0,8.06225774829855,
8.246211251235321,5.830951894845301,3.605551275463989,3.1622776601683795,7.211102550927978,7.615773105863909,9.486832980505138,
8.602325267042627,7.810249675906654,7.280109889280518,7.280109889280518,8.602325267042627,9.219544457292887,10.816653826391969,
8.48528137423857,8.06225774829855,8.246211251235321,9.219544457292887,9.848857801796104,10.63014581273465,9.899494936611665,
7.0710678118654755,7.615773105863909,8.06225774829855,9.219544457292887,8.54400374531753,10.816653826391969,9.219544457292887,
gaussian weights
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.01911538621343449,0.023748217156404735,0.02705077874297654,0.028250709481750534,0.02705077874297654,0.023748217156404735,0.01911538621343449,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
Keypoint[blue]: [ 81 125   2]
174,168,164,162,162,166,171,
168,161,156,154,155,160,167,
165,157,151,149,151,156,164,
164,156,151,149,150,156,163,
166,159,154,152,154,159,166,
171,165,161,159,161,166,172,
177,172,169,168,170,174,179,
orientation
225.0,209.74488129694222,194.03624346792648,180.0,150.25511870305778,140.19442890773482,119.74488129694222,
246.80140948635182,231.3401917459099,201.80140948635182,168.6900675259798,128.6598082540901,119.74488129694222,110.55604521958347,
262.8749836510982,260.5376777919744,270.0,90.0,101.30993247402021,90.0,97.1250163489018,
284.03624346792645,300.9637565320735,326.30993247402023,18.43494882292201,56.309932474020215,66.80140948635182,71.56505117707799,
305.5376777919744,320.1944289077348,344.05460409907715,15.945395900922854,35.53767779197438,45.0,56.309932474020215,
315.0,330.2551187030578,345.96375653207355,12.528807709151511,29.054604099077146,36.86989764584402,48.81407483429036,
315.0,336.8014094863518,352.8749836510982,12.528807709151511,23.962488974578186,32.005383208083494,41.18592516570965,
magnitude
8.48528137423857,8.06225774829855,8.246211251235321,8.0,8.06225774829855,7.810249675906654,8.06225774829855,
7.615773105863909,6.4031242374328485,5.385164807134504,5.0990195135927845,6.4031242374328485,8.06225774829855,8.54400374531753,
8.06225774829855,6.082762530298219,2.0,2.0,5.0990195135927845,8.0,8.06225774829855,
8.246211251235321,5.830951894845301,3.605551275463989,3.1622776601683795,7.211102550927978,7.615773105863909,9.486832980505138,
8.602325267042627,7.810249675906654,7.280109889280518,7.280109889280518,8.602325267042627,9.899494936611665,10.816653826391969,
8.48528137423857,8.06225774829855,8.246211251235321,9.219544457292887,10.295630140987,10.0,10.63014581273465,
7.0710678118654755,7.615773105863909,8.06225774829855,9.219544457292887,9.848857801796104,9.433981132056603,10.63014581273465,
gaussian weights
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.01911538621343449,0.023748217156404735,0.02705077874297654,0.028250709481750534,0.02705077874297654,0.023748217156404735,0.01911538621343449,
0.018303472462530158,0.0227395268870344,0.025901814291572595,0.02705077874297654,0.025901814291572595,0.0227395268870344,0.018303472462530158,
0.016068847514022096,0.019963315203537665,0.0227395268870344,0.023748217156404735,0.0227395268870344,0.019963315203537665,0.016068847514022096,
0.01293411729446307,0.016068847514022096,0.018303472462530158,0.01911538621343449,0.018303472462530158,0.016068847514022096,0.01293411729446307,
